-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg    Self SPYRE  Self SPYRE %   SPYRE total  SPYRE time avg       CPU Mem  Self CPU Mem     SPYRE Mem  Self SPYRE Mem    # of Calls  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                        Memset (Device)         0.00%       0.000us         0.00%       0.000us       0.000us      12.526us        95.39%      12.526us      12.526us           0 B           0 B           0 B           0 B             1  
/tmp/torchinductor_haoyang/inductor-spyre/sdsc_fused...         0.00%       0.000us         0.00%       0.000us       0.000us       0.605us         4.61%       0.605us       0.605us           0 B           0 B           0 B           0 B             1  
                               TorchDynamo Cache Lookup        12.11%      34.808us        12.11%      34.808us      34.808us       0.000us         0.00%       0.000us       0.000us           0 B           0 B           0 B           0 B             1  
                             Torch-Compiled Region: 0/0        18.05%      51.886us        50.82%     146.077us     146.077us       0.000us         0.00%       0.000us       0.000us           0 B           0 B       2.00 KB           0 B             1  
                                      Pregraph bytecode         1.25%       3.599us         1.25%       3.599us       3.599us       0.000us         0.00%       0.000us       0.000us           0 B           0 B           0 B           0 B             1  
                 AOTDispatcher Runtime Wrapper Prologue         3.06%       8.796us         3.06%       8.796us       8.796us       0.000us         0.00%       0.000us       0.000us           0 B           0 B           0 B           0 B             1  
## Call CompiledFxGraph fzfn56ud5oereyjz65f26uyulsxr...        27.67%      79.526us        28.46%      81.796us      81.796us       0.000us         0.00%       0.000us       0.000us           0 B           0 B       2.00 KB       2.00 KB             1  
                                 aiuLaunchControlBlocks         0.79%       2.270us         0.79%       2.270us       2.270us       0.000us         0.00%       0.000us       0.000us           0 B           0 B           0 B           0 B             1  
                                               aten::to         0.85%       2.445us        37.07%     106.549us     106.549us       0.000us         0.00%       0.000us       0.000us         512 B           0 B           0 B           0 B             1  
                                         aten::_to_copy         4.18%      12.027us        36.22%     104.104us     104.104us       0.000us         0.00%       0.000us       0.000us         512 B           0 B           0 B           0 B             1  
                                    aten::empty_strided         1.48%       4.240us         1.48%       4.240us       4.240us       0.000us         0.00%       0.000us       0.000us         512 B         512 B           0 B           0 B             1  
                                            aten::copy_         1.86%       5.340us        30.56%      87.837us      87.837us       0.000us         0.00%       0.000us       0.000us           0 B           0 B           0 B           0 B             1  
                                       aten::_copy_from        28.30%      81.345us        28.70%      82.497us      82.497us       0.000us         0.00%       0.000us       0.000us           0 B           0 B           0 B           0 B             1  
                              aiuLaunchDMOControlBlocks         0.40%       1.152us         0.40%       1.152us       1.152us       0.000us         0.00%       0.000us       0.000us           0 B           0 B           0 B           0 B             1  
                                               [memory]         0.00%       0.000us         0.00%       0.000us       0.000us       0.000us         0.00%       0.000us       0.000us        -512 B        -512 B      -2.00 KB      -2.00 KB             2  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
Self CPU time total: 287.434us
Self SPYRE time total: 13.131us

