id,log_file,model_sha,log_date,is_current,section,op,M,K,N,rows,cols,tiles,lx,rows_per_core,cores,macs,kernel_us,pred_us,err_pct,bw_gbps,memset_us,other_dev_us,total_dev_us,io_hbm_bytes,failed,split_forced,split_actual,compute_us,base_us,turn_us,eff_underfill,pt_eff,loop_us,T_model_us
broadcast_20260710_002131.log:18,broadcast_20260710_002131.log,cac08c0,20260710_002131,False,"BR broadcast rate: {copy,bcast,bcastcol,mulbcast} x COLS{1024..16384} @ ROWS=2048",copy,,,,2048,1024,0,0,,32,,70.364,80.0,13.7,119.2,133.755,398.876,602.995,8388736,False,,,,55.92,24.08,,,,80.0
broadcast_20260710_002131.log:33,broadcast_20260710_002131.log,cac08c0,20260710_002131,False,"BR broadcast rate: {copy,bcast,bcastcol,mulbcast} x COLS{1024..16384} @ ROWS=2048",bcast,,,,2048,1024,0,0,,32,,64.788,80.013,23.5,129.5,108.636,377.079,550.503,8390656,False,,,,55.94,24.08,,,,80.01
broadcast_20260710_002131.log:48,broadcast_20260710_002131.log,cac08c0,20260710_002131,False,"BR broadcast rate: {copy,bcast,bcastcol,mulbcast} x COLS{1024..16384} @ ROWS=2048",bcastcol,,,,2048,1024,0,0,,32,,69.561,81.747,17.5,124.4,116.853,276.229,462.643,8650752,False,,,,57.67,24.08,,,,81.75
broadcast_20260710_002131.log:63,broadcast_20260710_002131.log,cac08c0,20260710_002131,False,"BR broadcast rate: {copy,bcast,bcastcol,mulbcast} x COLS{1024..16384} @ ROWS=2048",mulbcast,,,,2048,1024,0,0,,32,,63.381,80.013,26.2,132.4,113.491,392.041,568.913,8390656,False,,,,55.94,24.08,,,,80.01
broadcast_20260710_002131.log:78,broadcast_20260710_002131.log,cac08c0,20260710_002131,False,"BR broadcast rate: {copy,bcast,bcastcol,mulbcast} x COLS{1024..16384} @ ROWS=2048",copy,,,,2048,2048,0,0,,32,,141.157,160.0,13.3,118.9,174.993,592.46,908.61,16777344,False,,,,111.85,48.15,,,,160.0
broadcast_20260710_002131.log:93,broadcast_20260710_002131.log,cac08c0,20260710_002131,False,"BR broadcast rate: {copy,bcast,bcastcol,mulbcast} x COLS{1024..16384} @ ROWS=2048",bcast,,,,2048,2048,0,0,,32,,136.336,160.026,17.4,123.1,164.858,582.767,883.961,16781312,False,,,,111.88,48.15,,,,160.03
broadcast_20260710_002131.log:108,broadcast_20260710_002131.log,cac08c0,20260710_002131,False,"BR broadcast rate: {copy,bcast,bcastcol,mulbcast} x COLS{1024..16384} @ ROWS=2048",bcastcol,,,,2048,2048,0,0,,32,,141.14,161.746,14.6,120.7,160.473,580.992,882.605,17039360,False,,,,113.6,48.15,,,,161.75
broadcast_20260710_002131.log:123,broadcast_20260710_002131.log,cac08c0,20260710_002131,False,"BR broadcast rate: {copy,bcast,bcastcol,mulbcast} x COLS{1024..16384} @ ROWS=2048",mulbcast,,,,2048,2048,0,0,,32,,136.859,160.026,16.9,122.6,174.848,464.209,775.916,16781312,False,,,,111.88,48.15,,,,160.03
broadcast_20260710_002131.log:138,broadcast_20260710_002131.log,cac08c0,20260710_002131,False,"BR broadcast rate: {copy,bcast,bcastcol,mulbcast} x COLS{1024..16384} @ ROWS=2048",copy,,,,2048,4096,0,0,,32,,286.222,319.998,11.8,117.2,215.33,1065.644,1567.196,33554560,False,,,,223.7,96.3,,,,320.0
broadcast_20260710_002131.log:153,broadcast_20260710_002131.log,cac08c0,20260710_002131,False,"BR broadcast rate: {copy,bcast,bcastcol,mulbcast} x COLS{1024..16384} @ ROWS=2048",bcast,,,,2048,4096,0,0,,32,,278.535,320.052,14.9,120.5,275.004,819.595,1373.134,33562624,False,,,,223.75,96.3,,,,320.05
broadcast_20260710_002131.log:168,broadcast_20260710_002131.log,cac08c0,20260710_002131,False,"BR broadcast rate: {copy,bcast,bcastcol,mulbcast} x COLS{1024..16384} @ ROWS=2048",bcastcol,,,,2048,4096,0,0,,32,,280.917,321.745,14.5,120.4,297.4,914.334,1492.651,33816576,False,,,,225.44,96.3,,,,321.75
